# Model:              M2B
# Version:            COMSOL 5.5.0.359
# Date:               Apr 10 2020, 22:48
# Table:              
# Time (adim)                                    Temperature (K) - Center                          Temperature (K) - Bottom                          Rayleigh number
0                                                 0.8090909163061704                                0.9991914994733628                                135414.52390042014
0.0044296875000000005                             0.8091111002532947                                0.9696217187861358                                86672.73371717423
0.008859375000000001                              0.8091175901415142                                0.9543065559110491                                65494.85987276228
0.0132890625                                      0.8090632383422469                                0.9426926307941997                                52267.731142689365
0.017718750000000002                              0.808870475770842                                 0.9331457152522012                                42871.73264048403
0.022148437500000003                              0.8084847288314889                                0.9248945849748907                                35754.64539765814
0.026578125                                       0.807896391655524                                 0.917567570671706                                 30155.134145769898
0.031007812500000002                              0.8071266669991237                                0.9109482711508552                                25635.672216685554
0.035437500000000004                              0.8062149107923231                                0.9049190322697094                                21930.37631418799
0.039867187500000005                              0.805203580182055                                 0.8994058622408483                                18864.772645640394
0.044296875000000006                              0.8041274509141001                                0.8943490069914651                                16313.346042678899
0.04872656250000001                               0.8030098974699205                                0.8896844095092857                                14178.87903577197
0.05315625                                        0.8018588464721996                                0.8853624721629088                                12382.794793229894
0.0575859375                                      0.8006759762135982                                0.8813384807247774                                10862.551324358492
0.062015625000000005                              0.7994605419700949                                0.8775674519754671                                9568.114187518504
0.0664453125                                      0.7982104663510459                                0.8740101338319685                                8459.304777412015
0.07087500000000001                               0.7969241230801953                                0.8706327467790185                                7503.925572106739
0.07530468750000001                               0.7956011353463777                                0.8674068132564297                                6676.180471429297
0.07973437500000001                               0.7942425061597402                                0.8643087184162416                                5955.356516351238
0.08416406250000001                               0.7928503844969055                                0.8613191425728577                                5324.747881640236
0.08859375000000001                               0.7914277095909217                                0.8584224560691364                                4770.796603492344
0.09302343750000001                               0.7899778741659338                                0.8556061284691255                                4282.417552187728
0.09745312500000002                               0.7885044629314466                                0.8528601086000137                                3850.4707901561474
0.10188281250000002                               0.7870110725283883                                0.8501761331716875                                3467.349071136215
0.1063125                                         0.7855011977169668                                0.8475477968528639                                3126.6841582137326
0.1107421875                                      0.7839781641883989                                0.8449703462458371                                2823.1110158799606
0.115171875                                       0.7824450915176797                                0.8424398860458611                                2552.0650307281726
0.11960156250000001                               0.7809048747321876                                0.8399532609191915                                2309.6379147231405
0.12403125000000001                               0.7793601772288157                                0.8375078994606902                                2092.4641070579273
0.1284609375                                      0.777813430630288                                 0.8351016757565195                                1897.630687586221
0.132890625                                       0.7762668389848459                                0.8327328051760723                                1722.6053595981305
0.1373203125                                      0.7747223858270265                                0.830399765172735                                 1565.1782418770383
0.14175000000000001                               0.7731823226997392                                0.8281008443305106                                1423.397974807975
0.14617968750000002                               0.7716482818758261                                0.8258347826183147                                1295.566151890115
0.15060937500000002                               0.7701210707947963                                0.8236009525795777                                1180.2047920428572
0.15503906250000002                               0.768601784540129                                 0.8213985055633956                                1075.9967216361758
0.15946875000000002                               0.7670911490643251                                0.8192268115312017                                981.7802977597051
0.16389843750000002                               0.7655906038256926                                0.817084681396199                                 896.5075560087095
0.16832812500000002                               0.764100364456803                                 0.8149718202089214                                819.2727539166774
0.17275781250000002                               0.7626216358008411                                0.8128870868674211                                749.2465720461812
0.17718750000000003                               0.7611544597028026                                0.8108302935432246                                685.7141185317427
0.18161718750000003                               0.7596997571276207                                0.808800357007361                                 628.0161456543897
0.18604687500000003                               0.7582574823228012                                0.8067971656952115                                575.5851483430769
0.19047656250000003                               0.7568282862881435                                0.8048196859793725                                527.8945799511537
0.19490625000000003                               0.7554120872704533                                0.8028678674487755                                484.49173509745503
0.19933593750000003                               0.7540093001944599                                0.800940719442495                                 444.9541829642983
0.20376562500000003                               0.752619839280025                                 0.7990382415307222                                408.91920553365065
0.20819531250000003                               0.7512439235252664                                0.7971594812864791                                376.04650103065194
0.212625                                          0.7498814812970838                                0.7953044793064269                                346.0442798230721
0.2170546875                                      0.7485325753106111                                0.7934723176771347                                318.63734845214407
0.221484375                                       0.7471971568864331                                0.7916630708061111                                293.5901013184006
0.2259140625                                      0.7458751682354481                                0.7898758521352155                                270.67919681603684
0.23034375                                        0.7445665864567164                                0.7881107640776703                                249.71373571947515
0.23477343750000002                               0.743271263759361                                 0.7863669486799358                                230.51184626255983
0.23920312500000002                               0.7419892023140902                                0.7846445316711604                                212.91835079119545
0.24363281250000002                               0.7407201892633128                                0.7829426813094748                                196.7846752113364
0.24806250000000002                               0.7394642492934487                                0.7812615428163732                                181.9842941677246
0.2524921875                                      0.7382211241699648                                0.7796003085985939                                168.39546835594044
0.256921875                                       0.7369908577850177                                0.7779591402156375                                155.91473656332997
0.2613515625                                      0.7357731615973244                                0.7763372524598066                                144.44206086543306
0.26578125                                        0.7345680953076112                                0.7747348205931014                                133.89260779932897
0.2702109375                                      0.7333753512601748                                0.7731510802939914                                124.18394678528882
0.274640625                                       0.7321949670231214                                0.7715861408292803                                115.2459458558116
0.27907031250000003                               0.7310263858954049                                0.7700387280630333                                107.00810061103626
0.28350000000000003                               0.7298698194128201                                0.7685093261426429                                99.41476351343913
0.28792968750000003                               0.7287252675753677                                0.7669979350681044                                92.41270928844338
0.29235937500000003                               0.7275926514182913                                0.7655043843490994                                85.95263046854596
0.29678906250000003                               0.7264712998019547                                0.7640272249491054                                79.98497858353983
0.30121875000000004                               0.7253616496440582                                0.7625674002034113                                74.47336524384268
0.30564843750000004                               0.724263700944602                                 0.7611249101120198                                69.38092150269524
0.31007812500000004                               0.7231773928354572                                0.7596996259659812                                64.67350329626017
