% Time (s)                                        Temperature (K), Point: (0.5, 0.5)                Temperature (1), Top                              Temperature (1), Bottom
0                                                 0.8953488391117574                                0.7909069767443572                                0.9999343595881869
9.84375E-4                                        0.8953544304259458                                0.7909069816745463                                0.9927818170678447
0.00196875                                        0.8953601086461358                                0.790906991033618                                 0.9898647683690862
0.002953125                                       0.8953652526517306                                0.7909070025172025                                0.9875879858055365
0.0039375                                         0.8953687438191158                                0.7909070160737656                                0.9857803041847091
0.004921875                                       0.895371773507003                                 0.7909070302091132                                0.9841035975536143
0.00590625                                        0.8953748031948903                                0.7909070443444614                                0.9824268909225193
0.006890625                                       0.8953669881372412                                0.7909070592587651                                0.981176052309758
0.007875                                          0.8953582435837375                                0.7909070742398343                                0.9799617145587568
0.008859375                                       0.895349499030234                                 0.7909070892209026                                0.9787473768077551
0.00984375                                        0.8953407544767302                                0.7909071042019697                                0.9775330390567538
0.010828125000000001                              0.8953320099232265                                0.7909071191830366                                0.9763187013057515
0.0118125                                         0.8953153790854489                                0.7909071317274307                                0.975173150189213
0.012796875                                       0.8952671435910928                                0.7909071345067211                                0.9743032647580424
0.01378125                                        0.8952189080967365                                0.7909071372860111                                0.9734333793268731
0.014765625000000001                              0.8951706726023803                                0.7909071400653024                                0.9725634938957036
0.01575                                           0.8951224371080242                                0.7909071428445953                                0.9716936084645341
0.016734375                                       0.8950742016136681                                0.7909071456238876                                0.9708237230333645
0.01771875                                        0.8950259661193118                                0.7909071484031786                                0.9699538376021953
0.018703125                                       0.8949777306249558                                0.7909071511824705                                0.9690839521710254
0.0196875                                         0.8949294951305995                                0.7909071539617626                                0.9682140667398559
0.020671875                                       0.8948812596362434                                0.7909071567410537                                0.9673441813086865
0.021656250000000002                              0.8948330241418874                                0.7909071595203453                                0.9664742958775171
0.022640625                                       0.8947847886475311                                0.7909071622996363                                0.9656044104463485
0.023625                                          0.8946868216370099                                0.7909071133598948                                0.9649254403073818
0.024609375                                       0.8945728890527085                                0.7909070478165128                                0.9643077607225458
0.02559375                                        0.8944589564684069                                0.7909069822731319                                0.9636900811377104
0.026578125                                       0.8943450238841057                                0.7909069167297489                                0.9630724015528733
0.0275625                                         0.8942310912998042                                0.7909068511863695                                0.9624547219680378
0.028546875                                       0.894117158715503                                 0.7909067856429877                                0.961837042383202
0.029531250000000002                              0.8940032261312014                                0.790906720099606                                 0.9612193627983656
0.030515625                                       0.8938892935469                                   0.7909066545562244                                0.9606016832135299
0.0315                                            0.8937753609625987                                0.7909065890128426                                0.9599840036286938
0.032484375                                       0.8936614283782973                                0.7909065234694628                                0.9593663240438579
0.03346875                                        0.8935474957939957                                0.7909064579260797                                0.958748644459022
0.034453125                                       0.8934335632096944                                0.7909063923826979                                0.9581309648741854
0.0354375                                         0.8933196306253932                                0.790906326839316                                 0.9575132852893498
0.036421875                                       0.8932056980410916                                0.7909062612959383                                0.9568956057045139
0.03740625                                        0.8930917654567903                                0.7909061957525545                                0.9562779261196774
0.038390625                                       0.8929778328724889                                0.7909061302091719                                0.9556602465348416
0.039375                                          0.8928639002881875                                0.7909060646657905                                0.9550425669500057
0.040359375                                       0.8927499677038861                                0.790905999122412                                 0.9544248873651696
0.04134375                                        0.8926360351195848                                0.7909059335790285                                0.9538072077803333
0.042328125                                       0.8925221025352832                                0.790905868035648                                 0.9531895281954976
0.043312500000000004                              0.8924081699509818                                0.790905802492265                                 0.9525718486106618
0.044296875                                       0.8922942373666805                                0.7909057369488847                                0.9519541690258257
0.04528125                                        0.8921803047823791                                0.7909056714055035                                0.9513364894409888
0.046265625                                       0.8920203710290324                                0.790905481204552                                 0.9508776280333344
0.04725                                           0.8918536575085587                                0.7909052726312569                                0.9504421736450925
0.048234375                                       0.891686943988085                                 0.7909050640579611                                0.9500067192568494
0.04921875                                        0.8915202304676115                                0.7909048554846654                                0.9495712648686061
0.050203125                                       0.8913535169471378                                0.7909046469113719                                0.949135810480364
0.0511875                                         0.8911868034266641                                0.790904438338074                                 0.948700356092121
0.052171875                                       0.8910200899061904                                0.790904229764782                                 0.9482649017038779
0.05315625                                        0.8908533763857169                                0.790904021191485                                 0.9478294473156347
0.054140625                                       0.8906866628652432                                0.7909038126181901                                0.947393992927392
0.055125                                          0.8905199493447695                                0.7909036040448948                                0.9469585385391489
0.056109375                                       0.8903532358242958                                0.7909033954715989                                0.9465230841509069
0.05709375                                        0.8901865223038223                                0.7909031868983039                                0.9460876297626637
0.058078125                                       0.8900198087833486                                0.7909029783250081                                0.9456521753744209
0.059062500000000004                              0.8898530952628751                                0.7909027697517113                                0.9452167209861777
0.060046875                                       0.8896863817424014                                0.7909025611784174                                0.9447812665979356
0.06103125                                        0.8895196682219277                                0.7909023526051202                                0.9443458122096926
0.062015625                                       0.8893529547014543                                0.7909021440318288                                0.9439103578214494
0.063                                             0.8891862411809806                                0.7909019354585319                                0.9434749034332071
0.063984375                                       0.8890195276605068                                0.7909017268852375                                0.9430394490449638
0.06496875                                        0.8888528141400331                                0.7909015183119414                                0.9426039946567214
0.065953125                                       0.8886861006195597                                0.7909013097386467                                0.9421685402684783
0.0669375                                         0.888519387099086                                 0.790901101165348                                 0.941733085880236
0.067921875                                       0.8883526735786123                                0.7909008925920553                                0.941297631491993
0.06890625                                        0.8881859600581385                                0.7909006840187597                                0.9408621771037501
0.069890625                                       0.8880192465376648                                0.7909004754454679                                0.940426722715507
0.070875                                          0.8878525330171914                                0.7909002668721702                                0.9399912683272637
0.071859375                                       0.8876858194967177                                0.7909000582988754                                0.9395558139390214
