% Model:              M1_case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 23 2020, 18:38
% Table:              
% Time (adim)                                       Temperature (K) - Center                          Temperature (K) - Bottom                          Rayleigh
0                                                 0.7818181890775282                                0.9990712512787194                                258195.28962161424
0.0044296875000000005                             0.7818265461203275                                0.963956008965672                                 152141.24298045645
0.008859375000000001                              0.7818131096516925                                0.946425207078261                                 110886.65651796525
0.0132890625                                      0.7817088221498587                                0.9334238689004667                                85580.82706093854
0.017718750000000002                              0.7814029870674122                                0.9227023521491498                                67931.79060566497
0.022148437500000003                              0.7808195418071358                                0.9133146791292458                                54773.80862930504
0.026578125                                       0.7799656920063671                                0.9048855050554542                                44552.0671371475
0.031007812500000002                              0.7789159405604398                                0.8973288802030547                                36478.02724603887
0.035437500000000004                              0.7777733962548565                                0.890601856124078                                 30099.58813855719
0.039867187500000005                              0.7766148569321256                                0.8846106929595815                                25061.701810594783
0.044296875000000006                              0.7754640585328922                                0.8792172396397208                                21058.161745902886
0.04872656250000001                               0.7743069661820954                                0.8743194780672814                                17841.895892034576
0.05315625                                        0.7731198123118017                                0.8698187251724848                                15228.273888463156
0.0575859375                                      0.7718795550527515                                0.8656284039914643                                13078.429407916363
0.062015625000000005                              0.7705744536395529                                0.8616880914878791                                11291.557772277454
0.0664453125                                      0.7692002327663525                                0.8579466635843171                                9792.020908601333
0.07087500000000001                               0.7677592994653275                                0.8543623492681068                                8522.790240824908
0.07530468750000001                               0.7662575767239299                                0.8509052031875634                                7441.054421259605
0.07973437500000001                               0.7647020713547519                                0.8475527429137897                                6513.822193018153
0.08416406250000001                               0.7631002072673976                                0.8442872687275995                                5715.125222558328
0.08859375000000001                               0.7614592230513502                                0.8410954781811982                                5024.318556324487
0.09302343750000001                               0.7597850666720516                                0.8379687055938607                                4424.882795992189
0.09745312500000002                               0.7580833351089822                                0.8349001949256422                                3903.2504442640966
0.10188281250000002                               0.7563593725581601                                0.831884219605657                                 3448.1650768686727
0.1063125                                         0.7546174803868984                                0.8289174508669486                                3050.297940234503
0.1107421875                                      0.7528616204503238                                0.8259974318502167                                2701.7986295248256
0.115171875                                       0.7510955179663377                                0.8231221159792643                                2396.0134207779784
0.11960156250000001                               0.7493225179468981                                0.8202898593381331                                2127.282222866683
0.12403125000000001                               0.7475459620545832                                0.8174990983591333                                1890.7556135780487
0.1284609375                                      0.7457683074154235                                0.8147486660953585                                1682.2937947258674
0.132890625                                       0.743992260346424                                 0.8120373205806821                                1498.319819567811
0.1373203125                                      0.7422185790319069                                0.8093646846059289                                1335.7925942449458
0.14175000000000001                               0.7404497098163663                                0.8067295828908417                                1192.031605942536
0.14617968750000002                               0.7386878077414583                                0.8041308454236858                                1064.715389519567
0.15060937500000002                               0.7369334819392639                                0.8015680931362718                                951.8608982059691
0.15503906250000002                               0.7351886339130442                                0.7990401694638336                                851.7097369852164
0.15946875000000002                               0.7334543639143001                                0.7965462282520124                                762.7421968666602
0.16389843750000002                               0.731731297508452                                 0.7940857771564249                                683.6410727074716
0.16832812500000002                               0.7300207066459663                                0.7916577064371215                                613.2372854706584
0.17275781250000002                               0.7283230784256154                                0.789261432753781                                 550.521160459852
0.17718750000000003                               0.7266389269910265                                0.786896390939342                                 494.6066668468306
0.18161718750000003                               0.7249690141520577                                0.7845615482626581                                444.70692932465147
0.18604687500000003                               0.7233135115004035                                0.7822565284084406                                400.1423948680432
0.19047656250000003                               0.721672771025232                                 0.7799807304916107                                360.31050978830905
0.19490625000000003                               0.7200471802646207                                0.7777332153380473                                324.67586276969377
0.19933593750000003                               0.7184367713145696                                0.7755137583256767                                292.7757970706697
0.20376562500000003                               0.7168417352682752                                0.7733217452302321                                264.19648856958565
0.20819531250000003                               0.7152622007761713                                0.7711563500495047                                238.57025117691134
0.212625                                          0.7136981562524227                                0.7690174360589577                                215.57866653347787
0.2170546875                                      0.7121496531756999                                0.7669043568124125                                194.9347424482224
0.221484375                                       0.7106166624739445                                0.7648165230596916                                176.38482879345779
0.2259140625                                      0.7090991619970497                                0.762753721421008                                 159.70667926528216
0.23034375                                        0.7075970877854085                                0.760715343827519                                 144.70009150881592
0.23477343750000002                               0.7061103552453312                                0.7587009782806756                                131.18852710387145
0.23920312500000002                               0.7046389104786019                                0.7567103597381148                                119.01574416979548
0.24363281250000002                               0.7031826157515266                                0.7547429191177026                                108.04103925565273
0.24806250000000002                               0.7017412657991693                                0.7527980473614733                                98.13908161327099
0.2524921875                                      0.7003147415830826                                0.7508753639592038                                89.19934909600984
0.256921875                                       0.6989030998509178                                0.748975050306586                                 81.12532045548642
0.2613515625                                      0.6975060407868101                                0.7470963255316923                                73.82704645684524
0.26578125                                        0.6961234637234919                                0.7452389274461165                                67.22618943465636
0.2702109375                                      0.6947555060276516                                0.74340321382209                                  61.254440743029704
0.274640625                                       0.6934018040158048                                0.741588311072056                                 55.84697836613627
0.27907031250000003                               0.6920620922480742                                0.7397935815949578                                50.94673832159549
0.28350000000000003                               0.6907366131589276                                0.7380196077316028                                46.505515910823874
0.28792968750000003                               0.6894250615723778                                0.736265727448999                                 42.477082737084956
0.29235937500000003                               0.688127041948758                                 0.7345310826838625                                38.81981185141182
0.29678906250000003                               0.6868428483129168                                0.7328163112784828                                35.499219843834034
0.30121875000000004                               0.6855722476722186                                0.7311209465151469                                32.482188712318234
0.30564843750000004                               0.6843147319724743                                0.7294439706883391                                29.738229646704564
0.31007812500000004                               0.6830706328726204                                0.7277860481585472                                27.242513377985475
