% Time (s)                                        Temperature (K), Point: (0.5, 0.5)                Temperature (1), Top                Temperature (1), Bottom
0                                                 0.8953488389628839                                0.7909069767442131                                0.9999343283695017
9.84375E-4                                        0.8953493840063591                                0.7909069772409666                                0.9926411752950112
0.00196875                                        0.8953499042720015                                0.7909069781131082                                0.9897435970634643
0.002953125                                       0.8953502518574208                                0.790906979237113                                 0.9875912444565871
0.0039375                                         0.8953499960615878                                0.790906980433864                                 0.9856586173027515
0.004921875                                       0.8953483822016473                                0.7909069817503405                                0.9840995531496989
0.00590625                                        0.8953467683417067                                0.7909069830668173                                0.9825404889966448
0.006890625                                       0.8953447217250687                                0.7909069843807631                                0.9810086530088906
0.007875                                          0.8953385026671368                                0.7909069856703121                                0.9797393384838031
0.008859375                                       0.895332283609205                                 0.7909069869598618                                0.9784700239587163
0.00984375                                        0.8953260645512731                                0.7909069882494103                                0.9772007094336289
0.010828125000000001                              0.8953032252405062                                0.7909069880575264                                0.9761744230061781
0.0118125                                         0.8952782493482379                                0.7909069876751967                                0.9751793785425515
0.012796875                                       0.8952532734559693                                0.7909069872928671                                0.9741843340789237
0.01378125                                        0.8952282975637009                                0.7909069869105388                                0.973189289615296
0.014765625000000001                              0.8952033216714326                                0.7909069865282037                                0.9721942451516693
0.01575                                           0.8951783457791642                                0.790906986145877                                 0.9711992006880414
0.016734375                                       0.895142211740664                                 0.7909069835303897                                0.970279858397314
0.01771875                                        0.8950935117089416                                0.7909069783999756                                0.9694457697833037
0.018703125                                       0.8950448116772187                                0.7909069732695675                                0.9686116811692942
0.0196875                                         0.8949961116454961                                0.7909069681391561                                0.9677775925552844
0.020671875                                       0.8949474116137734                                0.7909069630087446                                0.9669435039412744
0.021656250000000002                              0.8948987115820508                                0.7909069578783333                                0.966109415327265
0.022640625                                       0.8948486694700124                                0.790906952247049                                 0.9652810419930986
0.023625                                          0.8947753743970275                                0.7909069379376558                                0.9645516919270883
0.024609375                                       0.8947020793240426                                0.7909069236282603                                0.9638223418610781
0.02559375                                        0.8946287842510576                                0.7909069093188681                                0.9630929917950674
0.026578125                                       0.8945554891780729                                0.7909068950094709                                0.9623636417290576
0.0275625                                         0.894482194105088                                 0.7909068807000784                                0.9616342916630477
0.028546875                                       0.8944088990321031                                0.7909068663906847                                0.9609049415970374
0.029531250000000002                              0.894329549654824                                 0.7909068477301247                                0.9601946377852743
0.030515625                                       0.8942445753688251                                0.7909068250270014                                0.9595020293909176
0.0315                                            0.8941569141594292                                0.7909068003928145                                0.9588178737970289
0.032484375                                       0.8940665660266358                                0.7909067738275624                                0.9581421710036075
0.03346875                                        0.8939735309704453                                0.7909067453312485                                0.9574749210106528
0.034453125                                       0.8938778089908574                                0.7909067149038712                                0.9568161238181648
0.0354375                                         0.8937794000878723                                0.7909066825454283                                0.9561657794261448
0.036421875                                       0.8936783042614902                                0.790906648255922                                 0.9555238878345914
0.03740625                                        0.8935745215117106                                0.7909066120353513                                0.9548904490435048
0.038390625                                       0.8934680518385338                                0.7909065738837188                                0.9542654630528858
0.039375                                          0.89335889524196                                  0.7909065338010205                                0.9536489298627344
0.040359375                                       0.8932470517219888                                0.7909064917872581                                0.9530408494730495
0.04134375                                        0.8931325212786203                                0.7909064478424327                                0.9524412218838323
0.042328125                                       0.8930149500598383                                0.7909063958404364                                0.9518456941904654
0.043312500000000004                              0.8928945493619256                                0.7909063394393664                                0.9512568656506123
0.044296875                                       0.8927713974644353                                0.7909062799944396                                0.9506756992188778
0.04528125                                        0.8926454943673674                                0.7909062175056628                                0.9501021948952624
0.046265625                                       0.8925168400707222                                0.7909061519730315                                0.9495363526797663
0.04725                                           0.8923854345744995                                0.7909060833965489                                0.948978172572389
0.048234375                                       0.8922512778786991                                0.7909060117762114                                0.9484276545731307
0.04921875                                        0.8921143699833214                                0.7909059371120188                                0.9478847986819905
0.050203125                                       0.891974710888366                                 0.790905859403977                                 0.9473496048989691
0.0511875                                         0.8918323005938331                                0.7909057786520823                                0.9468220732240665
0.052171875                                       0.8916871390997227                                0.7909056948563336                                0.9463022036572827
0.05315625                                        0.8915392264060351                                0.7909056080167316                                0.9457899961986184
0.054140625                                       0.8913885625127698                                0.790905518133277                                 0.9452854508480732
0.055125                                          0.8912396191204854                                0.7909054185094704                                0.9447726051515628
0.056109375                                       0.8910886913986167                                0.7909053146933982                                0.9442646840974361
0.05709375                                        0.8909356762998994                                0.7909052068393858                                0.9437620555294715
0.058078125                                       0.8907805738243337                                0.7909050949474207                                0.9432647194476687
0.059062500000000004                              0.8906233839719193                                0.7909049790175138                                0.9427726758520266
0.060046875                                       0.8904641067426562                                0.790904859049657                                 0.9422859247425458
0.06103125                                        0.8903027421365446                                0.7909047350438559                                0.9418044661192281
0.062015625                                       0.8901392901535843                                0.7909046070001087                                0.9413282999820699
0.063                                             0.8899737507937755                                0.7909044749184154                                0.9408574263310745
0.063984375                                       0.8898061240571182                                0.7909043387987753                                0.9403918451662406
0.06496875                                        0.8896364099436123                                0.7909041986411881                                0.9399315564875688
0.065953125                                       0.8894646084532576                                0.790904054445655                                 0.9394765602950574
0.0669375                                         0.889291387401079                                 0.7909039057916191                                0.9390253626680054
0.067921875                                       0.8891204494870202                                0.7909037503473223                                0.9385696805641031
0.06890625                                        0.8889481378408988                                0.7909035904156613                                0.9381176945032119
0.069890625                                       0.888774452462715                                 0.7909034259966397                                0.9376694044853346
0.070875                                          0.888599393352469                                 0.7909032570902566                                0.9372248105104694
0.071859375                                       0.8884229605101606                                0.7909030836965091                                0.9367839125786158
