# Model:             M2C
# Version:            COMSOL 5.5.0.359
# Date:               Apr 11 2020, 01:30
# Table:            
# Time (adim)                                     Temperature (K) - Center                          Temperature (K) - Bottom                          Rayleigh number
0                                                 0.7818181838484621                                0.9990713025490192                                28246.620447745514
0.0044296875000000005                             0.7818450404783572                                0.9672647695321851                                22065.803166163092
0.008859375000000001                              0.7818718966059859                                0.9512846176466867                                18258.838931706978
0.0132890625                                      0.7818542872097287                                0.9379163146199734                                15605.377978231436
0.017718750000000002                              0.7817201189012644                                0.9264437745275506                                13605.52614998224
0.022148437500000003                              0.7814146614667876                                0.9164435466019124                                12020.826333777015
0.026578125                                       0.7809120044161897                                0.9075713861866855                                10720.401359728625
0.031007812500000002                              0.7802140498635652                                0.899580274716793                                 9627.38129154335
0.035437500000000004                              0.77934025596161                                  0.8922815359396599                                8692.03737287045
0.039867187500000005                              0.7783133995639515                                0.8855492948617368                                7881.333735991591
0.044296875000000006                              0.7771517197978761                                0.8793084346443472                                7172.536875357445
0.04872656250000001                               0.7758758189310235                                0.8734818655342529                                6547.7314183288445
0.05315625                                        0.7745036989910243                                0.8680105963404351                                5993.325666694162
0.0575859375                                      0.7730510134496007                                0.8628472922663197                                5498.679184777925
0.062015625000000005                              0.7715316466322599                                0.8579518473137603                                5055.24209241468
0.0664453125                                      0.7699560492335946                                0.853294640285924                                 4656.184100203504
0.07087500000000001                               0.7683336813574648                                0.8488488742357557                                4295.803303499366
0.07530468750000001                               0.7666725510600059                                0.8445917609005908                                3969.3386988547127
0.07973437500000001                               0.7649794208695879                                0.8405038818701787                                3672.7778262020875
0.08416406250000001                               0.7632615801406599                                0.8365641471910871                                3402.588165650613
0.08859375000000001                               0.7615250072950477                                0.8327552276715106                                3155.7951931653924
0.09302343750000001                               0.7597706002294715                                0.8290746284756824                                2930.1453907015634
0.09745312500000002                               0.7580045973635072                                0.8255045668976229                                2723.280198459031
0.10188281250000002                               0.7562251658839947                                0.8220503480769005                                2533.6364990621623
0.1063125                                         0.7544424570329926                                0.8186838030146633                                2359.0899495737235
0.1107421875                                      0.7526523667661169                                0.8154163201519351                                2198.5855269718295
0.115171875                                       0.7508636453043303                                0.8122252067801888                                2050.4761550235717
0.11960156250000001                               0.749073958162771                                 0.8091165171219116                                1913.8589470860163
0.12403125000000001                               0.7472881296595415                                0.8060782775728412                                1787.5700445707134
0.1284609375                                      0.7455069897967586                                0.8031084206496636                                1670.7488592687148
0.132890625                                       0.7437321471124778                                0.8002030447908374                                1562.577722863027
0.1373203125                                      0.7419661068448127                                0.7973560024921169                                1462.2834819673135
0.14175000000000001                               0.7402086297495223                                0.7945677946018201                                1369.2677780105962
0.14617968750000002                               0.7384628066019872                                0.791830628762703                                 1282.859376735046
0.15060937500000002                               0.7367275455739466                                0.7891471708925559                                1202.6022651728342
0.15503906250000002                               0.7350057797090552                                0.7865093437585234                                1127.9250587658737
0.15946875000000002                               0.7332963066162035                                0.7839204585943039                                1058.4645102246286
0.16389843750000002                               0.7316012611770597                                0.7813735349845016                                993.7486535017991
0.16832812500000002                               0.729919994636631                                 0.7788706941611304                                933.4642076102339
0.17275781250000002                               0.7282534016828586                                0.7764079345928085                                877.2451980877388
0.17718750000000003                               0.7266015782738782                                0.7739848352485061                                824.8001131767364
0.18161718750000003                               0.7249646502501126                                0.7715998712660227                                775.8464108791002
0.18604687500000003                               0.7233428717061585                                0.769251172215867                                 730.1211911635223
0.19047656250000003                               0.7217361278911227                                0.7669387057068973                                687.4010651184735
0.19490625000000003                               0.7201445189162929                                0.7646598399261001                                647.4533439829682
0.19933593750000003                               0.7185679709748718                                0.7624154013844248                                610.0977270069845
0.20376562500000003                               0.7170063154252371                                0.7602024272924884                                575.1306737504246
0.20819531250000003                               0.715459622390763                                 0.7580221496165492                                542.4036534598313
0.212625                                          0.7139274824796975                                0.7558716785707419                                511.7412496018096
0.2170546875                                      0.7124100346168198                                0.7537519947875814                                483.0156697210847
0.221484375                                       0.7109068882970648                                0.7516612629262082                                456.08383967845043
0.2259140625                                      0.7094180258706477                                0.749599399355642                                 430.82810247814547
0.23034375                                        0.7079432171613849                                0.747565595418396                                 407.13304640412167
0.23477343750000002                               0.7064822560969568                                0.7455590659916902                                384.8920810277524
0.23920312500000002                               0.7050349584563103                                0.7435792725173251                                364.0077522085645
0.24363281250000002                               0.703600701617054                                 0.7416241590821907                                344.37910780231846
0.24806250000000002                               0.7021797932107647                                0.7396947414926585                                325.9341814281531
0.2524921875                                      0.7007722332374424                                0.7377910197487262                                308.59830990755813
0.256921875                                       0.6993780216970868                                0.7359129938503964                                292.301675595372
0.2613515625                                      0.6979960407313017                                0.7340570875239455                                276.9570414813642
0.26578125                                        0.696626992703586                                 0.7322255477839607                                262.5195720490733
0.2702109375                                      0.6952708781320753                                0.7304183762880758                                248.93308103508346
0.274640625                                       0.6939276970167696                                0.7286355730362881                                236.14495962314098
0.27907031250000003                               0.6925966568369146                                0.726874499454768                                 224.09216498549773
0.28350000000000003                               0.6912776204764275                                0.7251346990369743                                212.72818368680456
0.28792968750000003                               0.6899709963109313                                0.7234175314056376                                202.0182998362648
0.29235937500000003                               0.688676784340426                                 0.7217229965607592                                191.9229838023514
0.29678906250000003                               0.6873947638577369                                0.7200503108388261                                182.40162308622465
0.30121875000000004                               0.6861240907014985                                0.7183964768816422                                173.40695792044562
0.30564843750000004                               0.6848653883594489                                0.71676370850301                                  164.9176910614325
0.31007812500000004                               0.6836186568315878                                0.7151520057029296                                156.90397216116352
