% Model:              Ceres_convection_16320_M3A.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 23 2020, 18:41
% Table:              Probe Table 1 - 
% Time (adim)                                     Temperature (K) - Center                          Temperature (K) - Bottom                          Rayleigh
0                                                 0.8090942032235915                                0.9991805417277206                                6.763814723186187E7
0.0044296875000000005                             0.8787609530919034                                0.8060684256711639                                3945127.8508247538
0.008859375000000001                              0.8547786313031658                                0.8061719979330177                                2171547.0734564243
0.0132890625                                      0.840627866198856                                 0.8002312362991799                                1461127.6860337676
0.017718750000000002                              0.8279516771764461                                0.7931818318188665                                1065580.4884546872
0.022148437500000003                              0.8300963155656422                                0.7852562582122625                                807576.0240945274
0.026578125                                       0.8168581327191109                                0.7785544112699858                                622286.2047278563
0.031007812500000002                              0.8032422919828544                                0.7737767883100911                                492184.3848139101
0.035437500000000004                              0.8156573186367304                                0.7692049054380679                                396196.3544631172
0.039867187500000005                              0.8044033475399313                                0.7645628126693615                                317988.98975249275
0.044296875000000006                              0.8021334019239998                                0.7611814747581037                                259290.59216125056
0.04872656250000001                               0.7991172295633369                                0.7582496153093466                                216175.57333203178
0.05315625                                        0.7837424578703791                                0.755340879760533                                 182446.13745056972
0.0575859375                                      0.7947232486239297                                0.7525906347337704                                154251.9012549083
0.062015625000000005                              0.7911110989499612                                0.7501773621780552                                129437.81947855516
0.0664453125                                      0.7881641395767103                                0.7477317255872117                                109480.11076871943
0.07087500000000001                               0.784300072210971                                 0.7456681801937278                                93997.88759847816
0.07530468750000001                               0.7772695819688515                                0.7436928419682008                                81377.88178832179
0.07973437500000001                               0.7678659211173344                                0.7416276736014258                                70780.92739605547
0.08416406250000001                               0.7625518735995702                                0.7395423491485851                                61759.309265956836
0.08859375000000001                               0.763295060882347                                 0.7375399676600448                                54038.91084341795
0.09302343750000001                               0.7648306142135697                                0.7356231647201109                                47420.54356241817
0.09745312500000002                               0.7645274808593121                                0.7337643023810445                                41743.70341595173
0.10188281250000002                               0.7630033956362317                                0.7319509208333904                                36868.177281312506
0.1063125                                         0.7609935734926998                                0.7301831115592349                                32669.875048649465
0.1107421875                                      0.7588090712575588                                0.7284619739234759                                29042.899466061932
0.115171875                                       0.7565855740281167                                0.7267866904045366                                25898.96925656094
0.11960156250000001                               0.7543665900862877                                0.7251557867651505                                23164.044557993984
0.12403125000000001                               0.7521638890912126                                0.7235682928967337                                20776.4776832211
0.1284609375                                      0.749976089585159                                 0.7220243007460407                                18684.73711431975
0.132890625                                       0.747799984055538                                 0.7205240569678865                                16846.69806558441
0.1373203125                                      0.7456323796327489                                0.7190675871942481                                15227.256254219286
0.14175000000000001                               0.7434700468701614                                0.7176545965358436                                13796.498858745725
0.14617968750000002                               0.7413108411799438                                0.7162843092943568                                12529.167743541195
0.15060937500000002                               0.7391538402670284                                0.7149554028030526                                11403.70871276518
0.15503906250000002                               0.7369993880788388                                0.7136667816004901                                10402.058299754728
0.15946875000000002                               0.7348483557768133                                0.7124170924473284                                9508.585586095563
0.16389843750000002                               0.732702479954829                                 0.7112049686272953                                8709.893799621303
0.16832812500000002                               0.7305641944059102                                0.7100291028252562                                7994.458988901439
0.17275781250000002                               0.7284367139646049                                0.7088881685121138                                7352.289351399292
